Transcript 1:
ただいまより抗がん剤小調整支援ロボット先生て紹介いたします。
Confidence: 89.70%

Word timestamps:
  ただいま|タダイマ: 0.00s - 13.70s
  対し|タイシ: 33.40s - 33.70s
  て|テ: 33.70s - 33.80s
  は|ワ: 33.80s - 34.00s
  有効|ユーコー: 34.00s - 34.60s
  な|ナ: 34.60s - 34.80s
  もの|モノ: 34.80s - 35.00s
  の|ノ: 35.00s - 35.10s
  毒性|ドクセー: 35.10s - 36.10s
  が|ガ: 36.10s - 36.30s
  強く|コワク,ズヨク,ツヨク: 36.30s - 36.60s
  抗がん|コーガン: 36.60s - 37.70s
  剤|ザイ: 37.70s - 37.70s
  の|ノ: 37.70s - 37.90s
  調整|チョーセー: 37.90s - 38.20s
  量|リョー: 38.20s - 38.50s
  を|オ: 38.50s - 38.60s
  誤る|アヤマル: 38.60s - 39.00s
  と|ト: 39.00s - 39.10s
  患者|カンジャ: 39.10s - 39.90s
  患者|カンジャ: 39.90s - 40.30s
  様|サマ,ヨー: 40.30s - 40.50s
  に|ニ: 40.50s - 40.60s
  とっ|トッ: 40.60s - 40.70s
  て|テ: 40.70s - 40.80s
  非常|ヒジョー: 40.80s - 41.20s
  に|ニ: 41.20s - 41.50s
  危険|キケン: 41.50s - 41.60s
  な|ナ: 41.60s - 41.70s
  もの|モノ: 41.70s - 41.80s
  と|ト: 41.80s - 42.00s
  なり|ナリ: 42.00s - 42.30s
  ます|マス: 42.30s - 42.30s
  また|マタ: 42.30s - 43.20s
  調整|チョーセー: 43.20s - 43.90s
  作業|サギョー: 43.90s - 44.20s
  を|オ: 44.20s - 44.30s
  行う|オコナウ: 44.30s - 44.60s
  薬剤|ヤクザイ: 44.60s - 45.30s
  師|シ,ジ: 45.30s - 45.50s
  の|ノ: 45.50s - 45.60s
  方|カタ,ガタ: 45.60s - 45.80s
  とっても|トッテモ: 45.80s - 46.30s
  危険|キケン: 46.30s - 46.70s
  な|ナ: 46.70s - 46.90s
  ため|タメ: 46.90s - 47.00s
  調整|チョーセー: 47.00s - 48.60s
  作業|サギョー: 48.60s - 48.90s
  に|ニ: 48.90s - 49.00s
  おい|オイ: 49.00s - 49.20s
  て|テ: 49.20s - 49.30s
  は|ワ: 49.30s - 49.40s
  正確|セーカク: 49.40s - 50.30s
  性|セー: 50.30s - 50.50s
  及び|オヨビ: 50.50s - 51.20s
  安全|アンゼン: 51.20s - 51.40s
  性|セー: 51.40s - 51.80s
  が|ガ: 51.80s - 52.10s
  重要|ジューヨー: 52.10s - 52.60s
  と|ト: 52.60s - 52.80s
  なり|ナリ: 52.80s - 53.00s
  ます|マス: 53.00s - 53.10s
  次|ツギ: 53.10s - 55.60s
  に|ニ: 55.60s - 55.70s
  抗がん|コーガン: 55.70s - 56.40s
  剤|ザイ: 56.40s - 56.50s
  投与|トーヨ: 56.50s - 56.80s
  の|ノ: 56.80s - 57.00s
  手順|テジュン: 57.00s - 57.40s
  に|ニ: 57.40s - 57.50s
  つい|ツイ: 57.50s - 57.70s
  て|テ: 57.70s - 57.70s
  説明|セツメー: 57.70s - 57.90s
  いたし|イタシ: 57.90s - 58.20s
  ます|マス: 58.20s - 58.60s
  まず|マズ: 58.60s - 59.60s
  は|ワ: 59.60s - 59.70s
  お|オ: 59.70s - 60.00s
  医者|イシャ: 60.00s - 60.20s
  様|サマ,ヨー: 60.20s - 60.40s
  が|ガ: 60.40s - 60.60s
  患者|カンジャ: 60.60s - 61.50s
  様|サマ,ヨー: 61.50s - 61.60s
  を|オ: 61.60s - 61.70s
  診察|シンサツ: 61.70s - 62.20s
  さ|サ: 62.20s - 62.40s
  れ|レ: 62.40s - 62.50s
  処方|ショホー: 62.50s - 63.50s
  箋|セン: 63.50s - 63.80s
  を|オ: 63.80s - 63.90s
  作成|サクセー: 63.90s - 64.40s
  し|シ: 64.40s - 64.50s
  ます|マス: 64.50s - 64.70s
  その|ソノ: 64.70s - 66.30s
  処方|ショホー: 66.30s - 66.70s
  箋|セン: 66.70s - 66.90s
  に|ニ: 66.90s - 67.20s
  薬剤|ヤクザイ: 67.20s - 68.30s
  師|シ,ジ: 68.30s - 68.40s
  が|ガ: 68.40s - 68.50s
  講座|コーザ: 68.50s - 69.30s
  抗がん|コーガン: 69.30s - 69.30s
  剤|ザイ: 69.30s - 70.10s
  の|ノ: 70.10s - 70.30s
  調整|チョーセー: 70.30s - 70.60s
  を|オ: 70.60s - 70.80s
  行い|オコナイ: 70.80s - 71.10s
  ます|マス: 71.10s - 71.30s

Transcript 4:
抗がん剤は非常に危険であるため、薬剤師はゴーグルマスク眼圧の手袋を着用し、安全キャビネットを言われる狭く密閉した空間内で抗がん剤調製作業を行います抗がん剤調製作業では正確性安全性に加え、患者様に待ち時間のストレスを与えないよう迅速に挑戦することが重要ですこれで使用していますロボットはもう止ん isda 攻略可搬重量5 kg +6酸化水素水で洗浄できる用防滴仕様となっております。
Confidence: 91.32%

Word timestamps:
  抗がん|コーガン: 72.20s - 72.90s
  剤|ザイ: 72.90s - 73.00s
  は|ワ: 73.00s - 73.20s
  非常|ヒジョー: 73.20s - 73.40s
  に|ニ: 73.40s - 73.50s
  危険|キケン: 73.50s - 73.70s
  で|デ: 73.70s - 73.90s
  ある|アル: 73.90s - 74.00s
  ため|タメ: 74.00s - 74.20s
  薬剤|ヤクザイ: 74.20s - 75.00s
  師|シ,ジ: 75.00s - 75.20s
  は|ワ: 75.20s - 75.40s
  ゴーグル|ゴーグル: 75.40s - 76.40s
  マスク|マスク: 76.40s - 77.20s
  眼圧|ガンアツ: 77.20s - 78.50s
  の|ノ: 78.50s - 78.80s
  手袋|テブクロ: 78.80s - 79.20s
  を|オ: 79.20s - 79.30s
  着用|チャクヨー: 79.30s - 79.70s
  し|シ: 79.70s - 80.10s
  安全|アンゼン: 80.10s - 81.30s
  キャビネット|キャビネット: 81.30s - 81.60s
  を|オ: 81.60s - 82.10s
  言わ|イワ,ユワ: 82.10s - 82.30s
  れる|レル: 82.30s - 82.50s
  狭く|セマク: 82.50s - 83.20s
  密閉|ミッペー: 83.20s - 84.00s
  し|シ: 84.00s - 84.20s
  た|タ: 84.20s - 84.30s
  空間|クーカン: 84.30s - 84.50s
  内|ナイ: 84.50s - 85.30s
  で|デ: 85.30s - 85.40s
  抗がん|コーガン: 85.40s - 86.30s
  剤|ザイ: 86.30s - 86.30s
  調製|チョーセー: 86.30s - 86.60s
  作業|サギョー: 86.60s - 87.00s
  を|オ: 87.00s - 87.10s
  行い|オコナイ: 87.10s - 87.40s
  ます|マス: 87.40s - 87.70s
  抗がん|コーガン: 87.70s - 89.30s
  剤|ザイ: 89.30s - 89.40s
  調製|チョーセー: 89.40s - 89.60s
  作業|サギョー: 89.60s - 89.90s
  で|デ: 89.90s - 90.10s
  は|ワ: 90.10s - 90.20s
  正確|セーカク: 90.20s - 91.20s
  性|セー: 91.20s - 91.30s
  安全|アンゼン: 91.30s - 91.90s
  性|セー: 91.90s - 92.30s
  に|ニ: 92.30s - 92.50s
  加え|クワエ: 92.50s - 92.70s
  患者|カンジャ: 92.70s - 93.80s
  様|サマ,ヨー: 93.80s - 94.00s
  に|ニ: 94.00s - 94.20s
  待ち|マチ: 94.20s - 95.10s
  時間|ジカン: 95.10s - 95.30s
  の|ノ: 95.30s - 95.60s
  ストレス|ストレス: 95.60s - 95.70s
  を|オ: 95.70s - 96.10s
  与え|アタエ: 96.10s - 96.40s
  ない|ナイ: 96.40s - 96.50s
  よう|ヨー: 96.50s - 96.70s
  迅速|ジンソク: 96.70s - 97.60s
  に|ニ: 97.60s - 97.90s
  挑戦|チョーセン: 97.90s - 98.70s
  する|スル: 98.70s - 98.90s
  こと|コト: 98.90s - 98.90s
  が|ガ: 98.90s - 99.10s
  重要|ジューヨー: 99.10s - 99.60s
  です|デス: 99.60s - 99.80s
  これ|コレ: 99.80s - 102.30s
  で|デ: 102.30s - 102.30s
  使用|シヨー: 102.30s - 102.60s
  し|シ: 102.60s - 102.70s
  て|テ: 102.70s - 102.80s
  い|イ: 102.80s - 102.80s
  ます|マス: 102.80s - 103.00s
  ロボット|ロボット: 103.00s - 103.40s
  は|ワ: 103.40s - 103.50s
  もう|モー: 103.50s - 104.00s
  止ん|トマン,ヤン: 104.00s - 104.50s
  isda|アイエスディーエー: 104.50s - 105.40s
  攻略|コーリャク: 105.40s - 106.00s
  可搬|カハン: 106.00s - 107.30s
  重量|ジューリョー: 107.30s - 107.40s
  ご: 108.10s - 108.10s
  kg|キログラム: 108.10s - 108.70s
  +|プラス: 108.70s - 109.60s
  ろく: 110.00s - 110.50s
  酸化|サンカ: 110.50s - 111.70s
  水素|スイソ: 111.70s - 112.00s
  水|スイ: 112.00s - 112.20s
  で|デ: 112.20s - 112.30s
  洗浄|センジョー: 112.30s - 113.20s
  できる|デキル: 113.20s - 113.60s
  用|ヨー: 113.60s - 113.60s
  防滴|ボーテキ: 113.60s - 114.50s
  仕様|シヨー: 114.50s - 114.80s
  と|ト: 114.80s - 115.00s
  なっ|ナッ: 115.00s - 115.20s
  て|テ: 115.20s - 115.30s
  おり|オリ: 115.30s - 115.30s
  ます|マス: 115.30s - 115.60s

Transcript 5:
 ただいま行なっています調整作業の内容はダイヤルと呼ばれる瓶の中に粉上の抗がん剤と25ミリの履歴を混ぜ合わせて撹拌し撹拌子に抗がん剤を入れ切り戻すというような内容です
Confidence: 92.92%

Word timestamps:
  ただいま|タダイマ: 117.60s - 118.10s
  行なっ|オコナッ: 118.10s - 118.80s
  て|テ: 118.80s - 118.80s
  い|イ: 118.80s - 118.90s
  ます|マス: 118.90s - 119.10s
  調整|チョーセー: 119.10s - 120.00s
  作業|サギョー: 120.00s - 120.30s
  の|ノ: 120.30s - 120.50s
  内容|ナイヨー: 120.50s - 120.80s
  は|ワ: 120.80s - 121.10s
  ダイヤル|ダイヤル: 121.10s - 122.20s
  と|ト: 122.20s - 122.30s
  呼ば|ヨバ: 122.30s - 122.50s
  れる|レル: 122.50s - 122.70s
  瓶|カメ,ガメ,ビン: 122.70s - 123.30s
  の|ノ: 123.30s - 123.40s
  中|ナカ: 123.40s - 123.60s
  に|ニ: 123.60s - 123.70s
  粉|コ,コナ: 123.70s - 124.30s
  上|ジョー: 124.30s - 124.40s
  の|ノ: 124.40s - 124.60s
  抗がん|コーガン: 124.60s - 125.40s
  剤|ザイ: 125.40s - 125.60s
  と|ト: 125.60s - 125.80s
  に: 126.90s - 126.90s
  じゅー: 126.90s - 127.00s
  ご: 127.00s - 127.10s
  ミリ|ミリ: 127.20s - 127.40s
  の|ノ: 127.40s - 127.50s
  履歴|リレキ: 127.50s - 128.10s
  を|オ: 128.10s - 128.20s
  混ぜ合わせ|マゼアワセ: 128.20s - 129.40s
  て|テ: 129.40s - 129.50s
  撹拌|カクハン: 129.50s - 130.70s
  し|シ: 130.70s - 130.80s
  撹拌|カクハン: 130.80s - 131.90s
  子|コ,ゴ,シ,ジ: 131.90s - 132.10s
  に|ニ: 132.10s - 132.20s
  抗がん|コーガン: 132.20s - 132.90s
  剤|ザイ: 132.90s - 132.90s
  を|オ: 132.90s - 133.10s
  入れ|イレ,ハイレ: 133.10s - 133.50s
  切り戻す|キリモドス: 133.50s - 134.20s
  と|ト: 134.20s - 134.30s
  いう|ユー: 134.30s - 134.50s
  よう|ヨー: 134.50s - 134.60s
  な|ナ: 134.60s - 134.70s
  内容|ナイヨー: 134.70s - 135.30s
  です|デス: 135.30s - 135.60s

Transcript 6:
正確性につきましてはトレーナーに入っている薬剤のバーコードと演出家植えてからの情報を比較消防士間違いないか確認しますまた10台つけてでは注射器の目盛りを目視確認して抗がん剤の量を確認していましたがこのロボットセルでは電子天秤を用い重量監査を行っているために精度がより向上しております安全性につきましては人ではなくロボットがこのアイソレーター内で調整作業を行うために薬剤師に危険が及ぶことがありませんこのように正確に安全に24時間連続して調整作業ができるために患者様を待たせることなく迅速に抗がん剤を供給することができます
Confidence: 95.22%

Word timestamps:
  正確|セーカク: 136.30s - 138.60s
  性|セー: 138.60s - 138.70s
  に|ニ: 138.70s - 138.80s
  つき|ツキ: 138.80s - 139.00s
  まし|マシ: 139.00s - 139.10s
  て|テ: 139.10s - 139.30s
  は|ワ: 139.30s - 139.30s
  トレーナー|トレーナー: 139.30s - 140.60s
  に|ニ: 140.60s - 140.70s
  入っ|イッ,ハイッ: 140.70s - 140.90s
  て|テ: 140.90s - 141.00s
  いる|イル: 141.00s - 141.20s
  薬剤|ヤクザイ: 141.20s - 142.00s
  の|ノ: 142.00s - 142.10s
  バー|バー: 142.10s - 142.60s
  コード|コード: 142.60s - 143.00s
  と|ト: 143.00s - 143.10s
  演出|エンシュツ: 143.10s - 144.10s
  家|カ,ケ,ヤ: 144.10s - 144.30s
  植え|ウエ: 144.30s - 144.40s
  て|テ: 144.40s - 144.40s
  から|カラ: 144.40s - 144.60s
  の|ノ: 144.60s - 144.70s
  情報|ジョーホー: 144.70s - 144.80s
  を|オ: 144.80s - 145.20s
  比較|ヒカク: 145.20s - 145.70s
  消防|ショーボー: 145.70s - 146.60s
  士|シ: 146.60s - 146.80s
  間違い|マチガイ: 146.80s - 147.90s
  ない|ナイ: 147.90s - 148.10s
  か|カ: 148.10s - 148.30s
  確認|カクニン: 148.30s - 148.60s
  し|シ: 148.60s - 148.70s
  ます|マス: 148.70s - 149.00s
  また|マタ: 149.00s - 150.10s
  じゅー: 150.70s - 150.70s
  台|ダイ: 150.70s - 150.90s
  つけ|ツケ: 150.90s - 151.20s
  て|テ: 151.20s - 151.20s
  で|デ: 151.20s - 151.30s
  は|ワ: 151.30s - 151.40s
  注射|チューシャ: 151.40s - 152.30s
  器|キ: 152.30s - 152.40s
  の|ノ: 152.40s - 152.50s
  目盛り|メモリ: 152.50s - 153.10s
  を|オ: 153.10s - 153.10s
  目視|モクシ: 153.10s - 153.70s
  確認|カクニン: 153.70s - 153.80s
  し|シ: 153.80s - 154.10s
  て|テ: 154.10s - 154.30s
  抗がん|コーガン: 154.30s - 155.30s
  剤|ザイ: 155.30s - 155.30s
  の|ノ: 155.30s - 155.60s
  量|リョー: 155.60s - 155.80s
  を|オ: 155.80s - 155.90s
  確認|カクニン: 155.90s - 156.60s
  し|シ: 156.60s - 156.80s
  て|テ: 156.80s - 156.90s
  い|イ: 156.90s - 156.90s
  まし|マシ: 156.90s - 157.10s
  た|タ: 157.10s - 157.20s
  が|ガ: 157.20s - 157.30s
  この|コノ: 157.30s - 158.20s
  ロボット|ロボット: 158.20s - 158.70s
  セル|セル: 158.70s - 159.00s
  で|デ: 159.00s - 159.10s
  は|ワ: 159.10s - 159.20s
  電子|デンシ: 159.20s - 159.80s
  天秤|テンビン: 159.80s - 160.10s
  を|オ: 160.10s - 160.20s
  用い|モチー: 160.20s - 160.40s
  重量|ジューリョー: 160.40s - 161.20s
  監査|カンサ: 161.20s - 161.60s
  を|オ: 161.60s - 161.60s
  行っ|オコナッ: 161.60s - 162.20s
  て|テ: 162.20s - 162.20s
  いる|イル: 162.20s - 162.40s
  ため|タメ: 162.40s - 162.60s
  に|ニ: 162.60s - 162.70s
  精度|セード: 162.70s - 163.40s
  が|ガ: 163.40s - 163.50s
  より|ヨリ: 163.50s - 163.70s
  向上|コージョー: 163.70s - 164.20s
  し|シ: 164.20s - 164.40s
  て|テ: 164.40s - 164.50s
  おり|オリ: 164.50s - 164.50s
  ます|マス: 164.50s - 164.60s
  安全|アンゼン: 164.60s - 167.40s
  性|セー: 167.40s - 167.70s
  に|ニ: 167.70s - 167.80s
  つき|ツキ: 167.80s - 168.00s
  まし|マシ: 168.00s - 168.00s
  て|テ: 168.00s - 168.30s
  は|ワ: 168.30s - 168.30s
  人|ヒト,ビト: 168.30s - 168.90s
  で|デ: 168.90s - 169.00s
  は|ワ: 169.00s - 169.10s
  なく|ナク: 169.10s - 169.20s
  ロボット|ロボット: 169.20s - 170.10s
  が|ガ: 170.10s - 170.30s
  この|コノ: 170.30s - 170.70s
  アイソレーター|アイソレーター: 170.70s - 171.20s
  内|ナイ: 171.20s - 171.40s
  で|デ: 171.40s - 171.60s
  調整|チョーセー: 171.60s - 172.30s
  作業|サギョー: 172.30s - 172.70s
  を|オ: 172.70s - 172.80s
  行う|オコナウ: 172.80s - 173.00s
  ため|タメ: 173.00s - 173.10s
  に|ニ: 173.10s - 173.30s
  薬剤|ヤクザイ: 173.30s - 174.30s
  師|シ,ジ: 174.30s - 174.30s
  に|ニ: 174.30s - 174.50s
  危険|キケン: 174.50s - 174.90s
  が|ガ: 174.90s - 175.00s
  及ぶ|オヨブ: 175.00s - 175.50s
  こと|コト: 175.50s - 175.60s
  が|ガ: 175.60s - 175.70s
  あり|アリ: 175.70s - 176.20s
  ませ|マセ: 176.20s - 176.40s
  ん|ン: 176.40s - 176.40s
  この|コノ: 176.40s - 177.40s
  よう|ヨー: 177.40s - 177.60s
  に|ニ: 177.60s - 177.80s
  正確|セーカク: 177.80s - 178.50s
  に|ニ: 178.50s - 178.60s
  安全|アンゼン: 178.60s - 179.50s
  に|ニ: 179.50s - 179.60s
  に: 180.30s - 180.30s
  じゅー: 180.30s - 180.50s
  よ: 180.50s - 180.60s
  じかん: 180.60s - 180.80s
  連続|レンゾク: 180.90s - 181.40s
  し|シ: 181.40s - 181.60s
  て|テ: 181.60s - 181.70s
  調整|チョーセー: 181.70s - 182.30s
  作業|サギョー: 182.30s - 182.60s
  が|ガ: 182.60s - 182.70s
  できる|デキル: 182.70s - 183.30s
  ため|タメ: 183.30s - 183.50s
  に|ニ: 183.50s - 183.70s
  患者|カンジャ: 183.70s - 184.60s
  様|サマ,ヨー: 184.60s - 184.90s
  を|オ: 184.90s - 184.90s
  待た|マタ: 184.90s - 185.20s
  せる|セル: 185.20s - 185.50s
  こと|コト: 185.50s - 185.60s
  なく|ナク: 185.60s - 185.70s
  迅速|ジンソク: 185.70s - 186.50s
  に|ニ: 186.50s - 186.70s
  抗がん|コーガン: 186.70s - 187.80s
  剤|ザイ: 187.80s - 187.90s
  を|オ: 187.90s - 188.10s
  供給|キョーキュー: 188.10s - 188.70s
  する|スル: 188.70s - 188.90s
  こと|コト: 188.90s - 189.00s
  が|ガ: 189.00s - 189.10s
  でき|デキ: 189.10s - 189.60s
  ます|マス: 189.60s - 189.80s

Transcript 7:
 以上をもちまして、抗がん剤調整支援ロボット0の紹介を終了しますご清聴ありがとうございました。
Confidence: 93.65%

Word timestamps:
  以上|イジョー: 190.60s - 191.10s
  を|オ: 191.10s - 191.20s
  もち|モチ: 191.20s - 191.40s
  まし|マシ: 191.40s - 191.60s
  て|テ: 191.60s - 191.70s
  抗がん|コーガン: 191.70s - 192.50s
  剤|ザイ: 192.50s - 192.60s
  調整|チョーセー: 192.60s - 193.00s
  支援|シエン: 193.00s - 193.30s
  ロボット|ロボット: 193.30s - 193.80s
  ぜろ: 194.00s - 194.10s
  の|ノ: 194.10s - 194.20s
  紹介|ショーカイ: 194.20s - 194.70s
  を|オ: 194.70s - 194.80s
  終了|シューリョー: 194.80s - 195.20s
  し|シ: 195.20s - 195.40s
  ます|マス: 195.40s - 195.60s
  ご|ゴ: 195.60s - 196.70s
  清聴|セーチョー: 196.70s - 197.00s
  ありがとう|アリガトー: 197.00s - 197.30s
  ござい|ゴザイ: 197.30s - 197.40s
  まし|マシ: 197.40s - 197.60s
  た|タ: 197.60s - 197.70s

